Area,Category,Year,Pop,SH1,Flags
Whangarei District,Not Stated,2001,6498,,
Whangarei District,Not stated,2013,7230,,
Whangarei District,Not stated,2018,0,,
Whangarei District,"$100,001 or More",2001,705,,
Whangarei District,"$100,001 or More",2013,2010,,
Whangarei District,"$100,001 or More",2018,3615,,
Whangarei District,"$70,001-$100,000",2001,882,,
Whangarei District,"$70,001-$100,000",2013,3546,,
Whangarei District,"$70,001-$100,000",2018,6084,,
Whangarei District,"$50,001-$70,000",2001,2409,,
Whangarei District,"$50,001-$70,000",2013,6444,,
Whangarei District,"$50,001-$70,000",2018,9387,,
Whangarei District,"$40,001-$50,000",2001,2865,,
Whangarei District,"$40,001-$50,000",2013,4701,,
Whangarei District,"$40,001-$50,000",2018,6600,,
Whangarei District,"$30,001-$40,000",2001,5040,,
Whangarei District,"$30,001-$40,000",2013,6405,,
Whangarei District,"$30,001-$40,000",2018,7959,,
Whangarei District,"$25,001-$30,000",2001,3627,,
Whangarei District,"$25,001-$30,000",2013,3699,,
Whangarei District,"$25,001-$30,000",2018,4596,,
Whangarei District,"$20,001-$25,000",2001,3642,,
Whangarei District,"$20,001-$25,000",2013,4662,,
Whangarei District,"$20,001-$25,000",2018,7107,,
Whangarei District,"$15,001-$20,000",2001,4746,,
Whangarei District,"$15,001-$20,000",2013,6300,,
Whangarei District,"$15,001-$20,000",2018,9294,,
Whangarei District,"$10,001-$15,000",2001,8316,,
Whangarei District,"$10,001-$15,000",2013,5799,,
Whangarei District,"$10,001-$15,000",2018,5724,,
Whangarei District,"$5,001-$10,000",2001,6798,,
Whangarei District,"$5,001-$10,000",2013,2802,,
Whangarei District,"$5,001-$10,000",2018,3357,,
Whangarei District,"$1-$5,000",2001,3885,,
Whangarei District,"$1-$5,000",2013,2715,,
Whangarei District,"$1-$5,000",2018,3402,,
Whangarei District,Zero Income,2001,1908,,
Whangarei District,Zero income,2013,3798,,
Whangarei District,Zero income,2018,4299,,
Whangarei District,Loss,2001,309,,
Whangarei District,Loss,2013,315,,
Whangarei District,Loss,2018,411,,
Raumanga East,Not Stated,2001,204,TRUE,
Raumanga East,"$100,001 or More",2001,3,TRUE,
Raumanga East,"$70,001-$100,000",2001,6,TRUE,
Raumanga East,"$50,001-$70,000",2001,18,TRUE,
Raumanga East,"$40,001-$50,000",2001,39,TRUE,
Raumanga East,"$30,001-$40,000",2001,84,TRUE,
Raumanga East,"$25,001-$30,000",2001,63,TRUE,
Raumanga East,"$20,001-$25,000",2001,90,TRUE,
Raumanga East,"$15,001-$20,000",2001,114,TRUE,
Raumanga East,"$10,001-$15,000",2001,204,TRUE,
Raumanga East,"$5,001-$10,000",2001,195,TRUE,
Raumanga East,"$1-$5,000",2001,96,TRUE,
Raumanga East,Zero Income,2001,51,TRUE,
Raumanga East,Loss,2001,9,TRUE,
Raumanga West,Not Stated,2001,309,TRUE,
Raumanga West,"$100,001 or More",2001,9,TRUE,
Raumanga West,"$70,001-$100,000",2001,9,TRUE,
Raumanga West,"$50,001-$70,000",2001,54,TRUE,
Raumanga West,"$40,001-$50,000",2001,90,TRUE,
Raumanga West,"$30,001-$40,000",2001,189,TRUE,
Raumanga West,"$25,001-$30,000",2001,132,TRUE,
Raumanga West,"$20,001-$25,000",2001,135,TRUE,
Raumanga West,"$15,001-$20,000",2001,189,TRUE,
Raumanga West,"$10,001-$15,000",2001,306,TRUE,
Raumanga West,"$5,001-$10,000",2001,279,TRUE,
Raumanga West,"$1-$5,000",2001,159,TRUE,
Raumanga West,Zero Income,2001,87,TRUE,
Raumanga West,Loss,2001,15,TRUE,
Raumanga,Not stated,2013,372,TRUE,
Raumanga,Not stated,2018,0,TRUE,
Raumanga,"$100,001 or More",2013,9,TRUE,
Raumanga,"$100,001 or More",2018,27,TRUE,
Raumanga,"$70,001-$100,000",2013,69,TRUE,
Raumanga,"$70,001-$100,000",2018,138,TRUE,
Raumanga,"$50,001-$70,000",2013,144,TRUE,
Raumanga,"$50,001-$70,000",2018,264,TRUE,
Raumanga,"$40,001-$50,000",2013,153,TRUE,
Raumanga,"$40,001-$50,000",2018,231,TRUE,
Raumanga,"$30,001-$40,000",2013,204,TRUE,
Raumanga,"$30,001-$40,000",2018,261,TRUE,
Raumanga,"$25,001-$30,000",2013,126,TRUE,
Raumanga,"$25,001-$30,000",2018,153,TRUE,
Raumanga,"$20,001-$25,000",2013,141,TRUE,
Raumanga,"$20,001-$25,000",2018,219,TRUE,
Raumanga,"$15,001-$20,000",2013,201,TRUE,
Raumanga,"$15,001-$20,000",2018,354,TRUE,
Raumanga,"$10,001-$15,000",2013,207,TRUE,
Raumanga,"$10,001-$15,000",2018,276,TRUE,
Raumanga,"$5,001-$10,000",2013,132,TRUE,
Raumanga,"$5,001-$10,000",2018,132,TRUE,
Raumanga,"$1-$5,000",2013,99,TRUE,
Raumanga,"$1-$5,000",2018,135,TRUE,
Raumanga,Zero income,2013,159,TRUE,
Raumanga,Zero income,2018,186,TRUE,
Raumanga,Loss,2013,6,TRUE,
Raumanga,Loss,2018,18,TRUE,
Tarewa,Not stated,2013,276,TRUE,
Tarewa,Not stated,2018,0,TRUE,
Tarewa,"$100,001 or More",2013,9,TRUE,
Tarewa,"$100,001 or More",2018,12,TRUE,
Tarewa,"$70,001-$100,000",2013,18,TRUE,
Tarewa,"$70,001-$100,000",2018,63,TRUE,
Tarewa,"$50,001-$70,000",2013,72,TRUE,
Tarewa,"$50,001-$70,001",2018,135,TRUE,
Tarewa,"$40,001-$50,000",2013,69,TRUE,
Tarewa,"$40,001-$50,000",2018,114,TRUE,
Tarewa,"$30,001-$40,000",2013,132,TRUE,
Tarewa,"$30,001-$40,000",2018,156,TRUE,
Tarewa,"$25,001-$30,000",2013,69,TRUE,
Tarewa,"$25,001-$30,000",2018,96,TRUE,
Tarewa,"$20,001-$25,000",2013,102,TRUE,
Tarewa,"$20,001-$25,000",2018,147,TRUE,
Tarewa,"$15,001-$20,000",2013,117,TRUE,
Tarewa,"$15,001-$20,000",2018,189,TRUE,
Tarewa,"$10,001-$15,000",2013,117,TRUE,
Tarewa,"$10,001-$15,000",2018,204,TRUE,
Tarewa,"$5,001-$10,000",2013,39,TRUE,
Tarewa,"$5,001-$10,000",2018,90,TRUE,
Tarewa,"$1-$5,000",2013,48,TRUE,
Tarewa,"$1-$5,000",2018,81,TRUE,
Tarewa,Zero income,2013,87,TRUE,
Tarewa,Zero income,2018,117,TRUE,
Tarewa,Loss,2013,12,TRUE,
Tarewa,Loss,2018,6,TRUE,
Port-Limeburners,Not Stated,2001,12,TRUE,
Port-Limeburners,Not stated,2013,,TRUE,c
Port-Limeburners,Not stated,2018,0,TRUE,
Port-Limeburners,"$100,001 or More",2001,0,TRUE,
Port-Limeburners,"$100,001 or More",2013,,TRUE,c
Port-Limeburners,"$100,001 or More",2018,0,TRUE,
Port-Limeburners,"$70,001-$100,000",2001,0,TRUE,
Port-Limeburners,"$70,001-$100,000",2013,,TRUE,c
Port-Limeburners,"$70,001-$100,000",2018,9,TRUE,
Port-Limeburners,"$50,001-$70,000",2001,0,TRUE,
Port-Limeburners,"$50,001-$70,000",2013,,TRUE,c
Port-Limeburners,"$50,001-$70,000",2018,12,TRUE,
Port-Limeburners,"$40,001-$50,000",2001,0,TRUE,
Port-Limeburners,"$40,001-$50,000",2013,6,TRUE,
Port-Limeburners,"$40,001-$50,000",2018,12,TRUE,
Port-Limeburners,"$30,001-$40,000",2001,3,TRUE,
Port-Limeburners,"$30,001-$40,000",2013,,TRUE,c
Port-Limeburners,"$30,001-$40,000",2018,6,TRUE,
Port-Limeburners,"$25,001-$30,000",2001,3,TRUE,
Port-Limeburners,"$25,001-$30,000",2013,,TRUE,c
Port-Limeburners,"$25,001-$30,000",2018,3,TRUE,
Port-Limeburners,"$20,001-$25,000",2001,6,TRUE,
Port-Limeburners,"$20,001-$25,000",2013,,TRUE,c
Port-Limeburners,"$20,001-$25,000",2018,12,TRUE,
