Area,Year,TotPop,NetMigr,SH1
Whangarei District,2001,68091,1341,
Whangarei District,2013,76995,2532,
Whangarei District,2018,90960,13965,
Raumanga East,2001,1650,-105,TRUE
Raumanga West,2001,2811,-144,TRUE
Raumanga,2013,2817,-177,TRUE
Raumanga,2018,3330,513,TRUE
Tarewa,2013,1635,-114,TRUE
Tarewa,2018,1962,327,TRUE
Port-Limeburners,2001,54,21,TRUE
Port-Limeburners,2013,39,-12,TRUE
Port-Limeburners,2018,102,63,TRUE
Riverside,2001,762,-33,FALSE
Riverside,2013,1791,-156,FALSE
Riverside,2018,2085,294,FALSE
Sherwood Rise,2001,3498,-9,FALSE
Sherwood Rise,2013,2226,-90,FALSE
Sherwood Rise,2018,2457,231,FALSE
Onerahi,2001,2004,-108,FALSE
Onerahi,2013,2145,-33,FALSE
Onerahi,2018,2457,312,FALSE
